title,genres,original_language,release_date,popularity,budget,revenue,runtime,vote_average,vote_count,status,release_year
Think Like a Man Too,Comedy|Romance,en,2014-06-20,15.237142,24000000,70181428,105.0,6.4,225,Released,2014.0
Top Spin,Documentary,en,2014-11-15,0.523122,0,0,80.0,6.8,6,Released,2014.0
Unbroken,Drama|War,en,2014-12-25,43.055253,65000000,163442937,137.0,7.3,1400,Released,2014.0
Wicked Blood,Action|Drama|Thriller,en,2014-03-04,3.158056,3500000,0,92.0,5.3,37,Released,2014.0
Wild,Drama,en,2014-12-05,42.952942,15000000,52501541,115.0,7.0,951,Released,2014.0
Winter's Tale,Drama|Fantasy|Mystery|Romance,en,2014-02-13,22.736038,60000000,30800231,118.0,6.0,487,Released,2014.0
Z Storm,Crime|Thriller,cn,2014-06-19,0.542814,0,0,92.0,5.8,5,Released,2014.0
#Horror,Drama|Mystery|Horror|Thriller,de,2015-11-20,2.815228,1500000,0,90.0,3.3,52,Released,2015.0
90 Minutes in Heaven,Drama,en,2015-09-11,3.943706,5000000,4842699,121.0,5.4,40,Released,2015.0
Abandoned,Drama|Thriller,en,2015-08-30,3.068463,0,0,82.0,5.8,27,Released,2015.0
American Hero,Action|Comedy|Science Fiction,en,2015-12-11,5.023091,0,0,86.0,5.0,62,Released,2015.0
Black Mass,Crime|Drama,en,2015-09-04,46.049902,53000000,98837872,122.0,6.3,1242,Released,2015.0
Captive,Crime|Drama|Thriller,en,2015-09-17,6.728882,2000000,2801508,97.0,5.6,92,Released,2015.0
Freeheld,Romance|Drama,en,2015-10-02,8.184588,7000000,573335,103.0,7.1,164,Released,2015.0
Home,Fantasy|Comedy|Animation|Science Fiction|Family,en,2015-03-18,63.473086,135000000,368871007,94.0,6.8,1519,Released,2015.0
It Follows,Horror|Thriller,en,2015-02-04,100.876794,2000000,14674076,100.0,6.6,1832,Released,2015.0
Jupiter Ascending,Science Fiction|Fantasy|Action|Adventure,en,2015-02-04,85.36908,176000003,183987723,124.0,5.2,2768,Released,2015.0
Legend,Crime|Thriller,en,2015-09-09,32.854557,25000000,42972994,131.0,6.7,973,Released,2015.0
Little Boy,Comedy|Drama|War,en,2015-04-23,12.232048,20000000,6420319,106.0,7.0,185,Released,2015.0
"McFarland, USA",Drama,en,2015-02-20,14.023082,0,45710059,128.0,7.4,213,Released,2015.0
Mission: Impossible - Rogue Nation,Action|Adventure|Thriller,en,2015-07-23,114.522237,150000000,682330139,131.0,7.1,3224,Released,2015.0
My All American,Drama,en,2015-11-13,3.102987,20000000,0,118.0,6.8,36,Released,2015.0
Paul Blart: Mall Cop 2,Action|Comedy|Family,en,2015-04-16,41.258487,38000000,107597242,94.0,5.0,567,Released,2015.0
Point Break,Action|Crime|Thriller,en,2015-12-03,33.507289,105000000,133718711,114.0,5.5,783,Released,2015.0
Pound of Flesh,Action,en,2015-05-07,4.943588,7500000,0,104.0,5.5,63,Released,2015.0
Reality Show,,en,2015-01-01,0.472123,0,0,92.0,5.5,2,Released,2015.0
"Run, Hide, Die",Thriller|Horror,en,2015-09-01,0.595809,50000,0,75.0,3.5,2,Released,2015.0
Secret in Their Eyes,Crime|Drama|Mystery,en,2015-10-14,15.012237,19500000,34854990,111.0,6.2,336,Released,2015.0
Spotlight,Drama|Thriller|History,en,2015-11-06,41.503588,20000000,88346473,128.0,7.8,2686,Released,2015.0
Stung,Comedy|Horror,de,2015-07-03,4.270489,2500000,0,87.0,4.9,63,Released,2015.0
The DUFF,Romance|Comedy,en,2015-02-20,40.28709,8500000,43528634,100.0,6.8,1322,Released,2015.0
The Last Witch Hunter,Fantasy|Action|Adventure,en,2015-10-21,52.612025,90000000,146936910,106.0,5.7,1316,Released,2015.0
The Little Prince,Adventure|Animation|Fantasy,en,2015-07-29,35.384423,64000000,97571250,92.0,7.6,756,Released,2015.0
The Martian,Drama|Adventure|Science Fiction,en,2015-09-30,167.93287,108000000,630161890,141.0,7.6,7268,Released,2015.0
The Wicked Within,Horror,en,2015-10-16,1.906151,0,0,91.0,4.2,26,Released,2015.0
Trainwreck,Comedy,en,2015-07-17,72.774941,35000000,140795793,125.0,5.9,1181,Released,2015.0
Unnatural,Thriller|Action|Horror,en,2015-10-16,0.687656,0,0,89.0,4.3,12,Released,2015.0
Vacation,Comedy,en,2015-07-28,47.753598,31000000,104384188,99.0,6.2,1195,Released,2015.0
While We're Young,Comedy|Drama|Mystery,en,2015-04-03,19.263477,10000000,7587485,97.0,5.8,383,Released,2015.0
Wild Card,Thriller|Crime|Drama,en,2015-01-14,48.0343,30000000,0,92.0,5.4,656,Released,2015.0
10 Cloverfield Lane,Thriller|Science Fiction|Drama,en,2016-03-10,53.698683,15000000,108286421,103.0,6.8,2468,Released,2016.0
Cabin Fever,Horror,en,2016-02-12,5.379319,0,0,99.0,4.4,111,Released,2016.0
Captain America: Civil War,Adventure|Action|Science Fiction,en,2016-04-27,198.372395,250000000,1153304495,147.0,7.1,7241,Released,2016.0
Departure,Drama|Romance|Family,en,2016-05-20,0.42583,0,0,109.0,7.5,12,Released,2016.0
Dirty Grandpa,Comedy,en,2016-01-21,56.805781,11500000,94073028,102.0,5.7,1406,Released,2016.0
Kicks,Adventure,en,2016-09-09,3.467923,0,0,80.0,7.5,18,Released,2016.0
Kung Fu Panda 3,Action|Adventure|Animation|Comedy|Family,en,2016-01-23,56.747978,145000000,521170825,95.0,6.7,1603,Released,2016.0
Me Before You,Drama|Romance,en,2016-06-02,53.161905,20000000,207945075,110.0,7.6,2562,Released,2016.0
Pete's Dragon,Adventure|Family|Fantasy,en,2016-08-10,31.974359,65000000,143695338,102.0,6.2,679,Released,2016.0
Ride Along 2,Action|Comedy,en,2016-01-14,25.136082,40000000,124827316,102.0,6.1,555,Released,2016.0
The BFG,Adventure|Family|Fantasy,en,2016-06-01,44.19092,140000000,183345589,120.0,6.0,1000,Released,2016.0
The Country Doctor,Drama|Comedy,fr,2016-03-23,2.651304,0,0,102.0,6.0,63,Released,2016.0
The Finest Hours,Action|Drama|History|Thriller,en,2016-01-25,28.223664,80000000,52099090,114.0,6.3,588,Released,2016.0
The Perfect Match,Comedy|Romance,en,2016-03-11,3.810827,0,0,96.0,5.2,42,Released,2016.0
The Purge: Election Year,Action|Horror|Thriller,en,2016-06-29,53.727146,10000000,118587880,105.0,6.1,1306,Released,2016.0
The Veil,Horror,en,2016-04-21,12.822534,4000000,0,93.0,4.5,118,Released,2016.0
Two Lovers and a Bear,Drama|Romance,en,2016-10-02,3.139294,0,0,96.0,6.8,27,Released,2016.0
The Robe,Drama,en,1953-09-16,4.028875,4100000,36000000,135.0,6.4,42,Released,1953.0
